1802605	0.2314	Body	767, 768, 769, 779, 783, 785, 786, 788, 789, 792, 795, 797, 801, 803, 806, 808, 812, 814, 815, 817, 818, 821, 827, 829, 833, 838, 840, 841, 843, 844, 847, 853, 855, 857, 864, 866, 867, 869, 870, 873, 875, 881, 883, 887, 891, 1295, 1324, 1421, 1460, 1495, 1622, 1638, 1675, 1994, 3631, 3666, 	
2630912	0.0076	Body	2888, 	
1802605	0.2314	Body	767, 768, 769, 779, 783, 785, 786, 788, 789, 792, 795, 797, 801, 803, 806, 808, 812, 814, 815, 817, 818, 821, 827, 829, 833, 838, 840, 841, 843, 844, 847, 853, 855, 857, 864, 866, 867, 869, 870, 873, 875, 881, 883, 887, 891, 1295, 1324, 1421, 1460, 1495, 1622, 1638, 1675, 1994, 3631, 3666, 	
2630912	0.0076	Body	2888, 	
1802605	0.0165	Body	2670, 2671, 2685, 3798, 	
1802605	0.0165	Body	2670, 2671, 2685, 3798, 	
1802605	0.0165	Body	3190, 3197, 3210, 3222, 	
1802605	0.0165	Body	3190, 3197, 3210, 3222, 	
2630912	0.0305	Body	875, 879, 976, 1454, 	
2630912	0.0305	Body	875, 879, 976, 1454, 	
1802598	0.0044	Body	1244, 	
1802598	0.0044	Body	1244, 	
1802605	0.0207	Body	2677, 3196, 3203, 3207, 3220, 	
2630912	0.0076	Body	2687, 	
1802605	0.0207	Body	2677, 3196, 3203, 3207, 3220, 	
2630912	0.0076	Body	2687, 	
1802605	0.0041	Body	2678, 	
1802605	0.0041	Body	2678, 	
1802605	0.0041	Body	2667, 	
1802605	0.0041	Body	2667, 	
1802605	0.0041	Body	2664, 	
1802605	0.0041	Body	2664, 	
1802605	0.0041	Body	2674, 	
2630912	0.0076	Body	2890, 	
1802598	0.0132	Body	948, 1239, 1341, 	
1802605	0.0041	Body	2674, 	
2630912	0.0076	Body	2890, 	
1802598	0.0132	Body	948, 1239, 1341, 	
1802605	0.0124	Body	2656, 2688, 2691, 	
1802605	0.0124	Body	2656, 2688, 2691, 	
1802612	0.0222	Body	454, 457, 	
1802612	0.0222	Body	454, 457, 	
1802612	0.0778	Body	359, 377, 565, 617, 2131, 2229, 2259, 	
1802598	0.0351	Body	930, 949, 1184, 1275, 1294, 1314, 1462, 1468, 	
1802612	0.0778	Body	359, 377, 565, 617, 2131, 2229, 2259, 	
1802598	0.0351	Body	930, 949, 1184, 1275, 1294, 1314, 1462, 1468, 	
1802605	0.0041	Body	2663, 	
1802605	0.0041	Body	2663, 	
1802605	0.0041	Body	2684, 	
1802605	0.0041	Body	2684, 	
1802612	0.0111	Body	1749, 	
1802612	0.0111	Body	1749, 	
1802605	0.0041	Body	2681, 	
1802605	0.0041	Body	2681, 	
1802612	0.0222	Body	611, 2212, 	
1802612	0.0222	Body	611, 2212, 	
1802605	0.0041	Body	2692, 	
1802605	0.0041	Body	2692, 	
1802605	0.0041	Body	3387, 	
1802605	0.0041	Body	3387, 	
1802605	0.0041	Body	2695, 	
1802605	0.0041	Body	2695, 	
1802605	0.0041	Body	2659, 	
1802605	0.0041	Body	2659, 	
1802605	0.0041	Body	3394, 	
1802605	0.0041	Body	3394, 	
1802605	0.0041	Body	2661, 	
1802605	0.0041	Body	2661, 	
1802598	0.0044	Body	1249, 	
1802598	0.0044	Body	1249, 	
1802605	0.0041	Body	2694, 	
1802605	0.0041	Body	2694, 	
1802605	0.0083	Body	2666, 2682, 	
